"ID","Intervention","Pretest","School","time","test"
1,1,99,1,1,101
2,1,95,1,1,119
3,0,82,1,1,94
4,0,94,1,1,100
5,1,69,2,1,69
6,1,74,2,1,78
7,0,78,2,1,85
8,0,85,2,1,91
9,1,77,3,1,105
10,1,69,3,1,112
11,0,76,3,1,109
12,0,69,3,1,69
13,1,93,4,1,87
14,1,96,4,1,94
15,0,90,4,1,92
16,0,78,4,1,78
17,1,79,5,1,85
18,1,69,5,1,69
19,0,85,5,1,76
20,0,94,5,1,75
21,1,88,6,1,100
22,1,75,6,1,95
23,0,76,6,1,100
24,0,97,6,1,100
25,1,76,7,1,91
26,1,88,7,1,117
27,0,95,7,1,91
28,0,92,7,1,95
29,1,86,8,1,81
30,1,81,8,1,78
31,0,103,8,1,77
32,0,69,8,1,69
33,0,70,9,1,69
34,0,77,9,1,93
35,1,101,9,1,103
36,1,81,9,1,102
37,1,69,10,1,69
38,1,70,10,1,69
39,0,80,10,1,89
40,0,77,10,1,93
41,0,86,11,1,110
42,0,92,11,1,98
43,1,97,11,1,104
44,1,81,11,1,102
45,1,102,12,1,110
46,1,100,12,1,104
47,0,83,12,1,94
48,0,94,12,1,101
49,0,101,13,1,78
50,0,69,13,1,69
51,1,121,13,1,69
52,1,93,13,1,69
53,1,69,14,1,69
54,0,69,14,1,69
55,0,69,14,1,69
56,0,93,15,1,91
57,0,93,15,1,108
58,1,90,15,1,96
59,1,90,15,1,112
60,0,87,16,1,93
61,0,81,16,1,92
62,1,74,16,1,94
63,1,94,16,1,96
64,1,93,17,1,96
65,1,97,17,1,90
66,0,90,17,1,84
67,0,87,17,1,86
68,0,84,18,1,99
69,0,69,18,1,87
70,1,75,18,1,95
71,1,76,18,1,100
72,1,97,19,1,90
73,1,86,19,1,121
74,0,78,19,1,69
75,0,89,19,1,78
76,1,87,20,1,98
77,1,130,20,1,131
78,0,90,20,1,108
79,1,109,21,1,108
80,1,100,21,1,96
81,0,85,21,1,96
82,0,101,21,1,92
83,0,69,22,1,75
84,0,94,22,1,101
85,1,84,22,1,104
86,0,69,23,1,109
87,0,69,23,1,87
88,1,69,23,1,107
89,0,71,24,1,77
90,0,77,24,1,90
91,1,79,24,1,96
92,1,69,24,1,87
93,1,69,25,1,88
94,1,79,25,1,92
95,0,79,25,1,87
96,0,69,25,1,85
97,1,80,26,1,81
98,1,77,26,1,69
99,0,76,26,1,77
100,0,69,26,1,78
101,0,78,27,1,69
102,0,85,27,1,91
103,1,90,27,1,85
104,1,69,27,1,86
105,0,87,28,1,81
106,0,89,28,1,94
107,1,69,28,1,87
108,1,77,29,1,110
109,1,69,29,1,72
110,0,79,29,1,87
111,0,69,29,1,77
112,1,69,30,1,78
113,1,80,30,1,82
114,0,93,30,1,90
115,0,86,30,1,69
116,1,79,31,1,83
117,1,73,31,1,69
118,0,85,31,1,83
119,0,69,31,1,85
120,0,69,32,1,86
121,0,74,32,1,69
122,1,69,33,1,72
123,1,70,33,1,69
124,0,69,33,1,69
125,0,72,33,1,85
126,1,103,34,1,111
127,1,101,34,1,112
128,0,89,34,1,88
129,0,118,34,1,111
130,1,71,35,1,75
131,1,74,35,1,84
132,0,73,35,1,97
133,0,69,35,1,83
134,1,82,36,1,93
135,1,92,36,1,81
136,0,102,36,1,106
137,0,82,36,1,90
138,1,102,37,1,97
139,1,104,37,1,100
140,0,103,37,1,94
141,0,78,37,1,88
142,1,78,38,1,107
143,1,69,38,1,96
144,0,73,38,1,77
145,0,80,38,1,95
146,0,107,39,1,103
147,0,99,39,1,91
148,1,84,39,1,84
149,1,72,39,1,75
150,1,98,40,1,123
151,1,89,40,1,91
152,0,93,40,1,110
153,1,79,41,1,78
154,0,78,41,1,84
155,0,69,41,1,77
