"schid","minority","female","ses","mathach","size","schtype","meanses"
"1224",0,1,-1.528,5.876,842,0,-0.428
"1224",0,1,-0.588,19.708,842,0,-0.428
"1224",0,0,-0.528,20.349,842,0,-0.428
"1224",0,0,-0.668,8.781,842,0,-0.428
"1224",0,0,-0.158,17.898,842,0,-0.428
"1224",0,0,0.022,4.583,842,0,-0.428
"1224",0,1,-0.618,-2.832,842,0,-0.428
"1224",0,0,-0.998,0.523,842,0,-0.428
"1224",0,1,-0.888,1.527,842,0,-0.428
"1224",0,0,-0.458,21.521,842,0,-0.428
"1224",0,1,-1.448,9.475,842,0,-0.428
"1224",0,1,-0.658,16.057,842,0,-0.428
"1224",0,0,-0.468,21.178,842,0,-0.428
"1224",0,1,-0.988,20.178,842,0,-0.428
"1224",0,0,0.332,20.349,842,0,-0.428
"1224",0,1,-0.678,20.508,842,0,-0.428
"1224",0,0,-0.298,19.338,842,0,-0.428
"1224",1,0,-1.528,4.145,842,0,-0.428
"1224",0,1,0.042,2.927,842,0,-0.428
"1224",0,0,-0.078,16.405,842,0,-0.428
"1224",0,1,0.062,13.653,842,0,-0.428
"1224",0,1,-0.128,6.558,842,0,-0.428
"1224",0,1,0.472,9.653,842,0,-0.428
"1224",0,0,-0.468,3.154,842,0,-0.428
"1224",1,1,-1.248,4.753,842,0,-0.428
"1224",0,0,-0.628,21.721,842,0,-0.428
"1224",0,1,0.832,5.166,842,0,-0.428
"1224",0,1,-0.568,6.399,842,0,-0.428
"1224",0,1,-0.258,6.821,842,0,-0.428
"1224",0,1,-0.138,9.255,842,0,-0.428
"1224",0,1,-0.478,3.745,842,0,-0.428
"1224",0,1,-0.948,0.858,842,0,-0.428
"1224",0,1,0.282,11.542,842,0,-0.428
"1224",0,1,-0.118,13.255,842,0,-0.428
"1224",0,0,-0.878,10.557,842,0,-0.428
"1224",0,0,-0.938,0.868,842,0,-0.428
"1224",0,0,-0.548,8.296,842,0,-0.428
"1224",1,0,0.142,-1.688,842,0,-0.428
"1224",0,1,0.972,2.059,842,0,-0.428
"1224",0,0,0.372,6.714,842,0,-0.428
"1224",1,0,-1.658,0.122,842,0,-0.428
"1224",0,1,-1.068,2.381,842,0,-0.428
"1224",0,1,-0.248,16.336,842,0,-0.428
"1224",0,1,-1.398,6.134,842,0,-0.428
"1224",0,1,0.752,23.584,842,0,-0.428
"1224",0,1,0.012,14.053,842,0,-0.428
"1224",0,1,-0.418,2.183,842,0,-0.428
"1288",0,1,-0.788,7.857,1855,0,0.128
"1288",1,0,-0.328,10.171,1855,0,0.128
"1288",0,0,0.472,15.699,1855,0,0.128
"1288",0,1,0.352,22.919,1855,0,0.128
"1288",1,1,-1.468,10.664,1855,0,0.128
"1288",0,1,0.202,13.543,1855,0,0.128
"1288",0,0,-0.518,18.207,1855,0,0.128
"1288",1,0,-0.158,5.552,1855,0,0.128
"1288",0,0,0.042,7.416,1855,0,0.128
"1288",0,0,0.682,18.792,1855,0,0.128
"1288",0,0,1.262,1.575,1855,0,0.128
"1288",0,1,0.152,3.534,1855,0,0.128
"1288",0,1,-0.678,20.173,1855,0,0.128
"1288",0,1,0.332,10.772,1855,0,0.128
"1288",0,1,-0.728,2.619,1855,0,0.128
"1288",0,1,1.262,21.3,1855,0,0.128
"1288",0,0,0.612,19.527,1855,0,0.128
"1288",0,1,0.692,18.402,1855,0,0.128
"1288",0,1,1.082,20.69,1855,0,0.128
"1288",0,0,0.222,21.437,1855,0,0.128
"1288",0,0,0.032,7.519,1855,0,0.128
"1288",0,0,-0.118,18.397,1855,0,0.128
"1288",0,0,-0.488,4.617,1855,0,0.128
"1288",0,0,0.322,23.578,1855,0,0.128
"1288",0,0,0.592,12.81,1855,0,0.128
"1296",1,1,-0.148,12.668,1719,0,-0.42
"1296",1,0,-0.858,0.781,1719,0,-0.42
"1296",1,1,-1.568,4.968,1719,0,-0.42
"1296",1,0,-0.898,23.172,1719,0,-0.42
"1296",1,1,-0.288,8.278,1719,0,-0.42
"1296",1,1,-1.088,6.244,1719,0,-0.42
"1296",1,1,-1.388,1.326,1719,0,-0.42
"1296",1,0,-1.148,2.359,1719,0,-0.42
"1296",1,1,-0.558,6.757,1719,0,-0.42
"1296",1,1,-0.698,6.251,1719,0,-0.42
"1296",1,1,0.142,3.404,1719,0,-0.42
"1296",1,0,0.522,22.201,1719,0,-0.42
"1296",1,0,0.732,-1.353,1719,0,-0.42
"1296",1,1,-0.248,-0.014,1719,0,-0.42
"1296",1,1,0.322,5.216,1719,0,-0.42
"1296",1,1,0.052,3.587,1719,0,-0.42
"1296",1,1,-0.028,11.162,1719,0,-0.42
"1296",1,1,-0.898,5.982,1719,0,-0.42
"1296",1,0,-0.818,2.814,1719,0,-0.42
"1296",1,1,-1.408,7.272,1719,0,-0.42
"1296",1,0,-1.258,8.895,1719,0,-0.42
"1296",1,0,-0.608,8.773,1719,0,-0.42
